epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9993,1.06785,2.54848,1.59415,0.3568,0.56442,0.30913,0.15535,1.19605,6.43819,2.19176,0.000659091,0.000659091,0.000659091
2,53.2267,1.28656,1.74509,1.76671,0.02796,0.26994,0.02115,0.01086,1.62306,19.8177,2.29357,0.00130935,0.00130935,0.00130935
3,81.5806,1.39091,1.73642,1.84258,0.54991,0.57669,0.55345,0.30284,1.36539,2.99354,2.10014,0.00194311,0.00194311,0.00194311
4,107.25,1.386,1.7586,1.8392,0.486,0.49307,0.45442,0.25079,1.47828,2.51403,2.3527,0.00192575,0.00192575,0.00192575
5,132.695,1.33634,1.69018,1.79667,0.14151,0.30675,0.11558,0.06274,1.52552,3.53304,2.12522,0.001901,0.001901,0.001901
6,158.254,1.31817,1.61525,1.79925,0.62499,0.58281,0.63056,0.39712,1.20202,1.76773,1.91366,0.00187625,0.00187625,0.00187625
7,183.915,1.2558,1.55074,1.73929,0.67488,0.60123,0.66066,0.41697,1.20047,1.64027,1.82371,0.0018515,0.0018515,0.0018515
8,209.81,1.20583,1.52823,1.68458,0.57998,0.65031,0.60615,0.38106,1.29597,2.06056,1.88479,0.00182675,0.00182675,0.00182675
9,236.133,1.19059,1.48927,1.69237,0.70154,0.6319,0.66208,0.45908,1.08529,1.60189,1.68261,0.001802,0.001802,0.001802
10,262.34,1.14945,1.43923,1.60179,0.68191,0.73652,0.75515,0.52854,1.08194,1.17062,1.67979,0.00177725,0.00177725,0.00177725
11,288.435,1.11033,1.31776,1.61607,0.71481,0.70552,0.7489,0.53553,1.01777,1.17456,1.5917,0.0017525,0.0017525,0.0017525
12,314.512,1.09882,1.31423,1.59953,0.76733,0.69939,0.74257,0.51326,1.00948,1.24802,1.62004,0.00172775,0.00172775,0.00172775
13,340.359,1.06603,1.25185,1.58335,0.76329,0.6924,0.75335,0.51749,1.06222,1.34322,1.63651,0.001703,0.001703,0.001703
14,366.142,1.04393,1.26056,1.55542,0.71302,0.70117,0.73499,0.53178,0.96245,1.14675,1.57834,0.00167825,0.00167825,0.00167825
15,392.563,1.06202,1.21306,1.57252,0.72224,0.67485,0.74239,0.51519,1.05652,1.1915,1.59297,0.0016535,0.0016535,0.0016535
16,418.641,1.0215,1.21558,1.53518,0.7462,0.66741,0.69255,0.48207,1.05083,1.37988,1.70592,0.00162875,0.00162875,0.00162875
17,444.835,1.03069,1.13428,1.55534,0.77135,0.66229,0.73136,0.51483,1.06301,1.19557,1.73207,0.001604,0.001604,0.001604
18,470.844,1.01481,1.15086,1.55946,0.76729,0.74845,0.77734,0.55853,0.93081,1.01262,1.51681,0.00157925,0.00157925,0.00157925
19,496.907,1.04744,1.14948,1.5639,0.71883,0.76074,0.77017,0.57442,0.96746,1.0277,1.578,0.0015545,0.0015545,0.0015545
20,522.865,0.99807,1.12738,1.50801,0.73482,0.72393,0.76269,0.5662,0.96146,1.03047,1.60487,0.00152975,0.00152975,0.00152975
21,549.297,0.99756,1.13655,1.52354,0.77799,0.68796,0.78691,0.55906,0.97792,1.02959,1.56169,0.001505,0.001505,0.001505
22,575.516,0.99327,1.08104,1.50153,0.70309,0.83436,0.79666,0.56669,0.91835,1.02943,1.50322,0.00148025,0.00148025,0.00148025
23,601.959,0.97453,1.07345,1.49947,0.76677,0.78662,0.8005,0.60232,0.89442,1.02914,1.48046,0.0014555,0.0014555,0.0014555
24,628.405,0.94958,1.02552,1.49667,0.79073,0.78816,0.82935,0.62318,0.87154,0.90254,1.49076,0.00143075,0.00143075,0.00143075
25,654.647,0.9583,1.04946,1.51478,0.75895,0.77301,0.78284,0.55316,0.93577,1.04321,1.57742,0.001406,0.001406,0.001406
26,681.668,0.94222,1.0185,1.47325,0.79696,0.76687,0.80964,0.61931,0.83095,0.95081,1.44047,0.00138125,0.00138125,0.00138125
27,707.833,0.94839,0.99426,1.49226,0.71979,0.7546,0.7843,0.55394,1.01142,0.98449,1.60529,0.0013565,0.0013565,0.0013565
28,734.303,0.95969,1.01576,1.50701,0.76505,0.77301,0.78498,0.57062,0.98341,0.90015,1.62343,0.00133175,0.00133175,0.00133175
29,760.595,0.94089,0.94702,1.47121,0.83667,0.72284,0.82659,0.61374,0.87648,0.96106,1.47457,0.001307,0.001307,0.001307
30,786.997,0.95059,0.97471,1.48222,0.80051,0.80982,0.83496,0.6216,0.87512,0.87192,1.44609,0.00128225,0.00128225,0.00128225
31,813.342,0.94564,0.95892,1.46908,0.77871,0.82037,0.81993,0.63231,0.83288,0.82466,1.45512,0.0012575,0.0012575,0.0012575
32,839.868,0.89796,0.98395,1.45028,0.71647,0.77515,0.80064,0.59492,0.90793,0.925,1.49244,0.00123275,0.00123275,0.00123275
33,866.189,0.88637,0.91421,1.43863,0.72645,0.78205,0.78253,0.58862,0.82682,0.9125,1.43689,0.001208,0.001208,0.001208
34,892.484,0.85907,0.88466,1.41124,0.75269,0.8589,0.84457,0.63579,0.84288,0.84718,1.45847,0.00118325,0.00118325,0.00118325
35,918.694,0.89235,0.88898,1.45576,0.78926,0.80419,0.86168,0.64494,0.8536,0.84729,1.44023,0.0011585,0.0011585,0.0011585
36,945.063,0.82172,0.87812,1.38122,0.87456,0.72716,0.84863,0.64825,0.82754,0.78866,1.46805,0.00113375,0.00113375,0.00113375
37,971.865,0.84554,0.91256,1.40394,0.75403,0.80982,0.80037,0.58443,0.89111,0.89721,1.51526,0.001109,0.001109,0.001109
38,998.208,0.86813,0.92375,1.43323,0.7925,0.72393,0.79254,0.58418,0.89201,0.97013,1.49928,0.00108425,0.00108425,0.00108425
39,1024.4,0.87538,0.92473,1.42932,0.802,0.77914,0.80333,0.61539,0.83445,0.8572,1.45879,0.0010595,0.0010595,0.0010595
40,1050.45,0.84379,0.88381,1.39573,0.76816,0.83341,0.8415,0.65748,0.77052,0.82998,1.36968,0.00103475,0.00103475,0.00103475
41,1076.78,0.87212,0.84676,1.42399,0.80771,0.82464,0.83765,0.63412,0.83145,0.84074,1.44948,0.00101,0.00101,0.00101
42,1103.33,0.8159,0.86627,1.36628,0.79988,0.84049,0.84762,0.6528,0.80417,0.76617,1.43719,0.00098525,0.00098525,0.00098525
43,1129.56,0.80168,0.81191,1.36684,0.78627,0.84049,0.86499,0.65071,0.85592,0.76818,1.4941,0.0009605,0.0009605,0.0009605
44,1156.02,0.84956,0.85554,1.40517,0.80452,0.78274,0.8183,0.58977,0.85242,0.85177,1.46959,0.00093575,0.00093575,0.00093575
45,1182.46,0.8294,0.85344,1.38197,0.81377,0.79755,0.83952,0.61548,0.83493,0.86466,1.43396,0.000911,0.000911,0.000911
46,1208.69,0.78894,0.80884,1.3443,0.80568,0.80982,0.8491,0.6572,0.76773,0.78875,1.38161,0.00088625,0.00088625,0.00088625
47,1234.76,0.77417,0.78549,1.34082,0.80114,0.80368,0.83466,0.63592,0.75941,0.80109,1.39792,0.0008615,0.0008615,0.0008615
48,1261.35,0.80508,0.81364,1.36528,0.80218,0.84588,0.84569,0.65901,0.78078,0.74387,1.3711,0.00083675,0.00083675,0.00083675
49,1287.96,0.7808,0.79473,1.35043,0.82268,0.78528,0.79943,0.59172,0.81108,0.95002,1.41636,0.000812,0.000812,0.000812
50,1314.62,0.78946,0.78709,1.35505,0.86731,0.80202,0.86956,0.66748,0.7892,0.74507,1.38019,0.00078725,0.00078725,0.00078725
51,1340.79,0.77093,0.7674,1.33517,0.83853,0.79647,0.85397,0.66128,0.81483,0.77721,1.44951,0.0007625,0.0007625,0.0007625
52,1366.72,0.79158,0.77175,1.34451,0.8427,0.80368,0.84619,0.6591,0.79048,0.76731,1.40812,0.00073775,0.00073775,0.00073775
53,1393.52,0.77131,0.77863,1.32547,0.83869,0.81595,0.83396,0.63835,0.81537,0.76443,1.43536,0.000713,0.000713,0.000713
54,1419.45,0.7622,0.74226,1.33567,0.82968,0.83679,0.86588,0.65218,0.79678,0.74785,1.40873,0.00068825,0.00068825,0.00068825
55,1445.76,0.75223,0.71869,1.32235,0.81157,0.82822,0.84268,0.64443,0.80168,0.75831,1.4383,0.0006635,0.0006635,0.0006635
56,1472.68,0.74385,0.70916,1.3197,0.86228,0.79141,0.86649,0.6708,0.80802,0.7567,1.40861,0.00063875,0.00063875,0.00063875
57,1499.85,0.71512,0.66115,1.28662,0.87028,0.78528,0.87138,0.6739,0.77448,0.74174,1.39678,0.000614,0.000614,0.000614
58,1526.93,0.73074,0.68095,1.2968,0.85245,0.79755,0.86162,0.66617,0.74565,0.71529,1.38417,0.00058925,0.00058925,0.00058925
59,1552.91,0.71535,0.69275,1.28871,0.8503,0.81595,0.87066,0.67381,0.76961,0.73202,1.39168,0.0005645,0.0005645,0.0005645
60,1579.1,0.71881,0.68731,1.28476,0.85668,0.8068,0.87597,0.67599,0.78399,0.72053,1.41244,0.00053975,0.00053975,0.00053975
61,1605.45,0.70516,0.65906,1.27841,0.8898,0.79261,0.86591,0.65397,0.79948,0.74711,1.39611,0.000515,0.000515,0.000515
62,1631.96,0.70816,0.69133,1.29054,0.83488,0.82209,0.86349,0.66804,0.78116,0.73601,1.42592,0.00049025,0.00049025,0.00049025
63,1658.73,0.67811,0.64806,1.25101,0.86645,0.79755,0.87278,0.67245,0.76074,0.6653,1.41062,0.0004655,0.0004655,0.0004655
64,1684.35,0.70808,0.64478,1.27849,0.89614,0.79755,0.87029,0.68361,0.77272,0.71101,1.40207,0.00044075,0.00044075,0.00044075
65,1710.29,0.68708,0.65557,1.28321,0.83079,0.82822,0.87429,0.69804,0.74004,0.68432,1.37191,0.000416,0.000416,0.000416
66,1736.1,0.65946,0.59494,1.24864,0.81857,0.85808,0.88019,0.7006,0.76622,0.69656,1.39132,0.00039125,0.00039125,0.00039125
67,1762.07,0.68535,0.61668,1.27098,0.85353,0.85801,0.88823,0.69606,0.75125,0.66536,1.38877,0.0003665,0.0003665,0.0003665
68,1788.27,0.68812,0.61464,1.27574,0.86661,0.81595,0.85704,0.68526,0.77823,0.68867,1.39909,0.00034175,0.00034175,0.00034175
69,1814.31,0.67828,0.58869,1.25286,0.87474,0.81595,0.88047,0.68385,0.76586,0.68613,1.40246,0.000317,0.000317,0.000317
70,1840.21,0.66294,0.60865,1.24771,0.82724,0.86503,0.85758,0.68074,0.78319,0.69976,1.42275,0.00029225,0.00029225,0.00029225
71,1867.04,0.5209,0.44348,1.13214,0.85803,0.83436,0.85965,0.66523,0.81893,0.68091,1.46512,0.0002675,0.0002675,0.0002675
72,1892.61,0.51719,0.42171,1.11834,0.88822,0.79755,0.86005,0.6807,0.78545,0.67717,1.43591,0.00024275,0.00024275,0.00024275
73,1918.16,0.49983,0.41903,1.11585,0.80355,0.84663,0.86007,0.672,0.80241,0.68858,1.43962,0.000218,0.000218,0.000218
74,1944.32,0.47528,0.38934,1.07798,0.85182,0.78528,0.84504,0.64956,0.80529,0.72354,1.45158,0.00019325,0.00019325,0.00019325
75,1969.75,0.486,0.40282,1.10556,0.85144,0.80368,0.85755,0.67542,0.80334,0.69901,1.47277,0.0001685,0.0001685,0.0001685
76,1995.33,0.48116,0.36529,1.09049,0.85179,0.81099,0.86029,0.67335,0.81545,0.68122,1.45686,0.00014375,0.00014375,0.00014375
77,2020.87,0.46862,0.37266,1.07658,0.86712,0.82209,0.86818,0.68914,0.7844,0.67136,1.42111,0.000119,0.000119,0.000119
78,2046.54,0.4612,0.35339,1.07221,0.87095,0.82812,0.88014,0.68858,0.77935,0.66782,1.41891,9.425e-05,9.425e-05,9.425e-05
79,2072.24,0.47629,0.35423,1.09605,0.84492,0.83561,0.88029,0.67746,0.77822,0.67755,1.42162,6.95e-05,6.95e-05,6.95e-05
80,2097.92,0.46156,0.35893,1.08605,0.90207,0.78528,0.87236,0.67774,0.77826,0.68519,1.41551,4.475e-05,4.475e-05,4.475e-05
