Rank,Model,Run,mAP50,mAP50-95,Precision,Recall,F1
1,YOLO12m,YOLO12m-2,0.8780269738308443,0.6763751014232947,0.8783382692712901,0.9032258064516129,0.8906082047910213
2,YOLO26m,YOLO26m-2,0.8527747745033616,0.6557079177893795,0.9002059967659329,0.8516129032258064,0.8752354965581567
3,YOLOv8n,YOLOv8n-3,0.8798818287010912,0.6361758730622927,0.920420878531344,0.8954477950187852,0.9077626132057314
