Model,mAP50,mAP50-95,Precision,Recall,F1
YOLO11s,0.89189922075919,0.66008609246502,0.9070855846576246,0.896774193548387,0.9019004176363508
YOLOv10s,0.830435622429121,0.6556372615122031,0.9010385843677989,0.832258064516129,0.8652836532778814
YOLOv9s,0.8612598480699852,0.6467851368772707,0.9306707208225888,0.8838709677419355,0.9066673263520286
