epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6296.23,0.98665,0.82999,1.32775,0.89213,0.85018,0.90711,0.57392,1.23079,0.68584,1.4965,0.000840286,0.000840286,0.000840286
43,6453.16,0.98827,0.81862,1.32832,0.88428,0.84697,0.89817,0.56464,1.20916,0.71989,1.47851,0.000812,0.000812,0.000812
44,6603.54,0.98535,0.82591,1.32452,0.89464,0.84044,0.90052,0.58812,1.15939,0.69416,1.44409,0.000783714,0.000783714,0.000783714
45,6757.72,0.98462,0.81206,1.32912,0.89634,0.84896,0.90308,0.59134,1.15024,0.69999,1.4177,0.000755429,0.000755429,0.000755429
46,6909.85,0.98006,0.78744,1.32411,0.91473,0.82826,0.90524,0.59215,1.11892,0.65011,1.39292,0.000727143,0.000727143,0.000727143
47,7058.13,0.95563,0.7666,1.30333,0.9186,0.81364,0.89771,0.58584,1.1548,0.69897,1.41947,0.000698857,0.000698857,0.000698857
48,7214.4,0.96329,0.77876,1.31188,0.88236,0.85874,0.90171,0.57816,1.19518,0.69356,1.44442,0.000670571,0.000670571,0.000670571
49,7362.66,0.95212,0.76572,1.30828,0.90044,0.83723,0.90713,0.62124,1.08051,0.64815,1.36895,0.000642286,0.000642286,0.000642286
50,7518.12,0.95356,0.76374,1.30638,0.93817,0.83166,0.91023,0.60873,1.11853,0.64777,1.41301,0.000614,0.000614,0.000614
51,7665.88,0.95585,0.75101,1.30163,0.91985,0.85505,0.90925,0.62043,1.08926,0.62673,1.37451,0.000585714,0.000585714,0.000585714
52,7821.47,0.96396,0.76703,1.3139,0.90269,0.85877,0.91011,0.5942,1.13553,0.64993,1.41983,0.000557429,0.000557429,0.000557429
53,7968.94,0.93663,0.7371,1.28822,0.91536,0.85622,0.90933,0.60512,1.11645,0.64398,1.40081,0.000529143,0.000529143,0.000529143
54,8122.97,0.93464,0.7331,1.29349,0.92935,0.84923,0.91138,0.61555,1.09048,0.62495,1.37638,0.000500857,0.000500857,0.000500857
55,8278.91,0.94536,0.7527,1.29641,0.91442,0.83292,0.91198,0.5842,1.16685,0.64051,1.44801,0.000472571,0.000472571,0.000472571
56,8428.34,0.94377,0.74683,1.28969,0.89962,0.85144,0.90644,0.59241,1.15084,0.65591,1.45687,0.000444286,0.000444286,0.000444286
57,8585.89,0.92239,0.71751,1.28457,0.92268,0.85993,0.91317,0.60038,1.13271,0.61437,1.413,0.000416,0.000416,0.000416
58,8733.85,0.92028,0.70511,1.27996,0.90987,0.87298,0.91355,0.62088,1.07137,0.6057,1.34654,0.000387714,0.000387714,0.000387714
59,8887.82,0.92907,0.71759,1.2781,0.93265,0.86018,0.91672,0.62387,1.07614,0.6022,1.36212,0.000359429,0.000359429,0.000359429
60,9038.87,0.90648,0.69236,1.26594,0.9348,0.85572,0.91675,0.61594,1.09054,0.59161,1.38053,0.000331143,0.000331143,0.000331143
61,9194.44,0.82587,0.5505,1.21755,0.92533,0.86037,0.91433,0.61128,1.10024,0.61723,1.36225,0.000302857,0.000302857,0.000302857
62,9342.4,0.81039,0.51479,1.19485,0.91236,0.87492,0.92075,0.61894,1.09252,0.60262,1.36246,0.000274571,0.000274571,0.000274571
63,9493.72,0.8154,0.49706,1.19543,0.92049,0.87429,0.92038,0.63002,1.06813,0.59247,1.33808,0.000246286,0.000246286,0.000246286
64,9643.65,0.79572,0.49792,1.18394,0.91975,0.8655,0.91965,0.61899,1.09463,0.59098,1.35538,0.000218,0.000218,0.000218
65,9790.05,0.80061,0.48445,1.17844,0.9274,0.87089,0.91886,0.63468,1.07122,0.5699,1.33963,0.000189714,0.000189714,0.000189714
66,9943.56,0.79273,0.48651,1.18291,0.92402,0.87454,0.92138,0.6432,1.05898,0.56736,1.32227,0.000161429,0.000161429,0.000161429
67,10097.5,0.78601,0.47992,1.17627,0.92784,0.87576,0.92681,0.6363,1.06091,0.55426,1.32875,0.000133143,0.000133143,0.000133143
68,10254.2,0.78009,0.46911,1.16902,0.91746,0.89403,0.92403,0.66104,1.01077,0.54632,1.28493,0.000104857,0.000104857,0.000104857
69,10403.3,0.77623,0.4614,1.16842,0.93175,0.88134,0.92407,0.66631,1.00774,0.53564,1.27734,7.65714e-05,7.65714e-05,7.65714e-05
70,10567.7,0.76646,0.45156,1.15951,0.93212,0.86975,0.9213,0.66297,0.99679,0.54176,1.26932,4.82857e-05,4.82857e-05,4.82857e-05
