epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,914.172,0.91829,0.90653,1.25853,0.86809,0.77301,0.86587,0.6577,0.96763,0.68493,1.31038,0.0009605,0.0009605,0.0009605
44,934.988,0.94053,0.9324,1.25788,0.82556,0.79141,0.85281,0.63307,0.99231,0.70333,1.31857,0.00093575,0.00093575,0.00093575
45,954.701,0.94588,0.8721,1.2875,0.86568,0.75125,0.84127,0.63202,0.94639,0.81473,1.32895,0.000911,0.000911,0.000911
46,975.43,0.8984,0.86743,1.23262,0.86612,0.75409,0.86156,0.64268,0.9698,0.70291,1.32146,0.00088625,0.00088625,0.00088625
47,995.293,0.90996,0.83154,1.25628,0.85084,0.76074,0.81917,0.60946,0.89974,0.8416,1.32316,0.0008615,0.0008615,0.0008615
48,1015.83,0.91878,0.83118,1.27126,0.8092,0.78056,0.83432,0.64148,0.87576,0.72413,1.26321,0.00083675,0.00083675,0.00083675
49,1036.05,0.87853,0.84256,1.24101,0.87752,0.76074,0.85795,0.65084,0.92711,0.74794,1.33128,0.000812,0.000812,0.000812
50,1056.36,0.89174,0.80162,1.24639,0.87182,0.78528,0.87255,0.64792,0.97054,0.70098,1.3377,0.00078725,0.00078725,0.00078725
51,1077.3,0.87125,0.81933,1.22166,0.92069,0.77301,0.87044,0.66372,0.93118,0.65517,1.30052,0.0007625,0.0007625,0.0007625
52,1097.35,0.86354,0.82991,1.22109,0.84651,0.78528,0.85139,0.65129,0.89858,0.72389,1.3108,0.00073775,0.00073775,0.00073775
53,1118.55,0.86866,0.81692,1.24013,0.85259,0.78062,0.87434,0.66258,0.87594,0.70556,1.27962,0.000713,0.000713,0.000713
54,1138.74,0.85796,0.76055,1.22074,0.89024,0.79619,0.88314,0.67764,0.86261,0.67189,1.26739,0.00068825,0.00068825,0.00068825
55,1159.87,0.85133,0.76249,1.2097,0.83678,0.81779,0.87355,0.65516,0.9319,0.69288,1.29792,0.0006635,0.0006635,0.0006635
56,1180.06,0.86386,0.73492,1.21095,0.82326,0.82875,0.87267,0.65965,0.87682,0.6955,1.25244,0.00063875,0.00063875,0.00063875
57,1200.41,0.82441,0.7022,1.20445,0.84092,0.79141,0.85651,0.64818,0.93616,0.70775,1.30593,0.000614,0.000614,0.000614
58,1221.08,0.82758,0.73088,1.19954,0.85499,0.79582,0.87882,0.67125,0.88196,0.65117,1.28333,0.00058925,0.00058925,0.00058925
59,1241.49,0.81228,0.71492,1.19993,0.87711,0.78817,0.87738,0.66173,0.91708,0.66608,1.30389,0.0005645,0.0005645,0.0005645
60,1262.5,0.81824,0.72145,1.19451,0.80125,0.84663,0.87051,0.65556,0.93247,0.66592,1.33616,0.00053975,0.00053975,0.00053975
61,1282.44,0.78433,0.69013,1.18829,0.87341,0.80982,0.87364,0.67649,0.89025,0.66305,1.29225,0.000515,0.000515,0.000515
62,1303.18,0.78728,0.70069,1.18504,0.87069,0.80368,0.8757,0.66884,0.90645,0.63271,1.31807,0.00049025,0.00049025,0.00049025
63,1323.04,0.77855,0.69003,1.17036,0.869,0.79755,0.86334,0.66011,0.93883,0.6761,1.34213,0.0004655,0.0004655,0.0004655
64,1343.94,0.80019,0.67569,1.18397,0.8772,0.82209,0.88144,0.6677,0.91107,0.66048,1.30679,0.00044075,0.00044075,0.00044075
65,1363.77,0.78477,0.66453,1.18559,0.88913,0.79755,0.86105,0.65589,0.92191,0.67336,1.32044,0.000416,0.000416,0.000416
66,1384.31,0.73676,0.63831,1.14835,0.86714,0.80084,0.86772,0.65961,0.94876,0.66022,1.32311,0.00039125,0.00039125,0.00039125
67,1404.71,0.76049,0.67754,1.16611,0.89835,0.7591,0.87653,0.67012,0.92103,0.66078,1.30336,0.0003665,0.0003665,0.0003665
68,1424.72,0.7727,0.64435,1.1844,0.8939,0.77534,0.87042,0.68055,0.90736,0.66213,1.30536,0.00034175,0.00034175,0.00034175
69,1445.68,0.76074,0.61968,1.15441,0.87498,0.77283,0.86231,0.66269,0.91275,0.6724,1.3146,0.000317,0.000317,0.000317
70,1465.42,0.74166,0.63314,1.16606,0.89331,0.78528,0.86152,0.6671,0.88008,0.64513,1.28868,0.00029225,0.00029225,0.00029225
71,1487.15,0.57014,0.38047,1.05932,0.87432,0.82209,0.86528,0.66903,0.87932,0.65574,1.31094,0.0002675,0.0002675,0.0002675
72,1506.75,0.57487,0.36021,1.04155,0.83307,0.82209,0.86637,0.67213,0.87443,0.65793,1.30975,0.00024275,0.00024275,0.00024275
73,1527.37,0.56168,0.3448,1.05656,0.84698,0.81498,0.86747,0.67403,0.84501,0.69889,1.28503,0.000218,0.000218,0.000218
74,1546.87,0.54351,0.30712,1.0179,0.84764,0.83436,0.87354,0.68231,0.84865,0.67226,1.28678,0.00019325,0.00019325,0.00019325
75,1567.4,0.53889,0.34097,1.02312,0.86482,0.82424,0.87744,0.68803,0.83824,0.66152,1.27921,0.0001685,0.0001685,0.0001685
76,1587.53,0.53251,0.31312,1.02688,0.82947,0.84049,0.86938,0.68066,0.86022,0.65371,1.28352,0.00014375,0.00014375,0.00014375
77,1607.67,0.54732,0.33218,1.03646,0.89235,0.80368,0.86943,0.68146,0.86488,0.6445,1.28753,0.000119,0.000119,0.000119
78,1628.03,0.54695,0.30564,1.02622,0.82005,0.83873,0.87108,0.68059,0.85612,0.65804,1.27857,9.425e-05,9.425e-05,9.425e-05
79,1647.84,0.53621,0.30635,1.03375,0.85157,0.83436,0.87258,0.68476,0.83707,0.71063,1.26232,6.95e-05,6.95e-05,6.95e-05
80,1668.78,0.54223,0.33446,1.05308,0.85102,0.83436,0.87047,0.68614,0.8438,0.70003,1.27445,4.475e-05,4.475e-05,4.475e-05
